{url} {actual_label} {predicted_label} {correctness}
http://o3jg.yisez.gay phishing phishing correct
http://t2m.kr/vfMAR phishing phishing correct
https://donate.do/Z9Ak phishing phishing correct
http://dokdo.in/xaW phishing phishing correct
http://bit.ly/3PxBJOX phishing phishing correct
http://www.cjthedmmk.cn/o5t2q4 phishing phishing correct
http://pazqw.crvud.com phishing phishing correct
http://gde.hdie.agency phishing phishing correct
https://funding.do/RsYu phishing phishing correct
http://vdfd2.hdie.agency phishing phishing correct
http://jtfvb.puth.agency  phishing phishing correct
http://jhgdc.oshr.casa  phishing phishing correct
http://jfx246.hdie.agency phishing phishing correct
http://htys3.oiwx.hair  phishing phishing correct
http://hdv.uasn.agency  phishing phishing correct
http://grgt.nmeo.press phishing phishing correct
http://fddsdfw.pwoi.skin phishing phishing correct
http://jtrdc3.hdie.agency phishing phishing correct
http://fggd.oiwx.hair  phishing phishing correct
noib.j4cg.ltd phishing safe wrong
ioz.c11.j4cg.ltd phishing safe wrong
me9.vgx6.biz phishing safe wrong
noz.uaf4.pink phishing safe wrong
ioc.w9rd.biz phishing safe wrong
https://www.figma.com/ safe safe correct
https://anaconda.cloud/ safe phishing wrong
https://stackoverflow.com/ safe phishing wrong
https://rextester.com/l/cpp_online_compiler_gcc safe phishing wrong
https://www.superookie.com/en-grammarcheck safe phishing wrong
https://suno.com/explore safe phishing wrong
https://www.flaticon.com/free-icons/music safe safe correct
https://dan.naver.com/24/registration safe phishing wrong
https://clovanote.naver.com/ safe phishing wrong
https://www.pixilart.com/draw safe safe correct
https://www.vecteezy.com/free-vector safe safe correct
https://dova-s.jp/ safe phishing wrong
https://www.jdoodle.com/python3-programming-online safe phishing wrong
https://learn.unity.com/project/rubiyi-moheom-2d-cogeubjayong?language=ko&courseId=619b370bedbc2a7772eadb1f safe phishing wrong
https://p5js.org/ safe phishing wrong
https://www.k-startup.go.kr/web/contents/bizpbanc-ongoing.do?ordFld=deadline safe phishing wrong
https://www.hancomdocs.com/hwp safe safe correct
https://ewportal.ewha.ac.kr/portal/page/goMain.do?moveUrl=%2Fportal%2Fpage%2FgoMain.do&userId=U2276219D20220224&langCode=ko&resultCode=OK safe phishing wrong
https://www.mongodb.com/ safe safe correct
https://wikidocs.net/ safe safe correct
https://www.schoolmusic.co.kr/ safe safe correct
https://www.buzzbee.co.kr/ safe phishing wrong
https://freebud.co.kr/ safe phishing wrong
https://learngitbranching.js.org/ safe phishing wrong
https://stackoverflow.com/ safe phishing wrong
total accuracy: 55.10%
