{url} {actual_label} {predicted_label} {correctness}
http://masf.krhes.boston phishing phishing correct
con08.nu8w.love phishing phishing correct
coz.ul3u.show phishing phishing correct
https://donate.do/h73t phishing phishing correct
oabe.fyy8.plus phishing phishing correct
mp.fnb4.media phishing phishing correct
http://gilo.iszty.skin phishing phishing correct
http://han.gl/UwxiZ phishing phishing correct
http://sn6d.senlo.plus phishing phishing correct
on17.er30.love phishing phishing correct
yang.jeyrg.beauty phishing phishing correct
http://hgfdh.bsone.kr phishing phishing correct
http://hg6if.spoet.kr phishing phishing correct
oanxz.g6ho.cyou phishing phishing correct
http://vcgytu.kremt.boston phishing phishing correct
http://lsopfi.zmgec.mobi/ phishing phishing correct
http://unz7a.jeyrg.beauty  phishing phishing correct
http://t2m.kr/XPvjk phishing phishing correct
http://dd.malfsms.pro phishing phishing correct
http://bit.ly/3yL1d4v  phishing phishing correct
ms.directsemk.com/ phishing safe wrong
http://gfsw2q.bsone.kr phishing phishing correct
bit.ly/3Q9a47H phishing phishing correct
https://bit.ly/3OiXOjx phishing phishing correct
http://tny.im/MzjeQ phishing phishing correct
http://ling1.yisez.gay phishing phishing correct
coc.ul3u.show phishing phishing correct
http://pdtni.vkioz.cn phishing phishing correct
moy.v69w.saLe  phishing phishing correct
cc13.aq3L.press phishing phishing correct
http://hged2.bsone.kr phishing phishing correct
http://jd7v.yisez.gay  phishing phishing correct
cco5.cc2x.tax  phishing phishing correct
nbv.jc6y.Ltd phishing phishing correct
bit.ly/3PkFHef phishing phishing correct
moc.v69w.saLe  phishing phishing correct
cc23.aq3L.press  phishing phishing correct
http://q3hf.yisez.gay  phishing phishing correct
http://op.pongdang.top/gool phishing phishing correct
cc24.aq3L.press phishing phishing correct
http://o3jg.yisez.gay phishing phishing correct
http://t2m.kr/vfMAR phishing phishing correct
https://donate.do/Z9Ak phishing phishing correct
http://dokdo.in/xaW phishing phishing correct
http://bit.ly/3PxBJOX phishing phishing correct
http://www.cjthedmmk.cn/o5t2q4 phishing phishing correct
http://pazqw.crvud.com phishing phishing correct
nne.fnb4.media phishing phishing correct
http://gdtc3.bsone.kr  phishing phishing correct
http://hghh7f.spoet.kr phishing phishing correct
hhg.kmssnjkk.com/ phishing phishing correct
https://bit.ly/3AVWkae  phishing phishing correct
bbs.smrectsemk.com  phishing phishing correct
https://bit.ly/3z3ZOqa phishing phishing correct
obr.n61g.group phishing phishing correct
msk.micesmsk.com phishing phishing correct
cco5cc2x.tax phishing phishing correct
http://yang2.yisez.gay phishing phishing correct
nior.m1xy.tax phishing phishing correct
iona01.d6lk.biz phishing phishing correct
